customer_id,name,email,phone,address,city,country,segment
1,Reginald Harmon,zkirby@example.net,269.338.0514x5386,120 Peterson Avenue Apt. 069,West Michaelstad,Vanuatu,online
2,Delacruz Ltd,michelledelacruz@example.com,356-552-3221x48944,176 Jason Center Apt. 815,Silvashire,United States Minor Outlying Islands,retail
3,Mr. Matthew Gallagher,jeanette06@example.org,(811)528-7408x11730,45287 Taylor Ports,North Kimberly,Colombia,retail
4,Brown-Thomas,brandon60@example.net,719.812.6048,9818 Nelson Bridge Apt. 865,Stephenburgh,United Kingdom,retail
5,"Richard, Williams and Benton",william48@example.com,8562623005,6150 Dillon Tunnel Apt. 506,Fullerfurt,Jersey,online
6,Sandra Johnson,christina85@example.net,(376)657-8937x939,3729 Janet Islands Apt. 196,New Davidberg,Korea,online
7,Denise Jones,jacob32@example.org,919-902-6623,813 Adrian Plain,North Wendy,Heard Island and McDonald Islands,online
8,Joseph Tate,clarkpaul@example.org,001-228-774-2565x686,05895 Amy Islands,Collierton,United States Minor Outlying Islands,retail
9,Debra Cohen,shawn18@example.net,3777949148,4661 King Motorway,North Adamchester,Uruguay,retail
10,Charles Foster,xherrera@example.com,253-463-7766x59959,4238 Mary Falls,South Roy,Ethiopia,retail
11,Austin-Rodriguez,ydavis@example.org,+1-583-563-5805,513 Erica Flat,Ryanville,Yemen,retail
12,Carla Hunter,tlopez@example.com,001-837-322-3917,225 Wade Pike Suite 313,Heatherfort,Gabon,enterprise
13,Elizabeth Hill,elee@example.org,001-261-875-6577,344 Mark Corners,New Lesliemouth,Germany,retail
14,Tiffany Martinez,wooddavid@example.com,248.840.1617,144 Lewis Gardens Suite 520,Port Michaelville,Falkland Islands (Malvinas),online
15,Ashley Cohen,victoria57@example.org,676.384.0913,109 Tony Ports Suite 714,Cristianshire,Guinea-Bissau,online
16,Scott Pearson,amanda38@example.com,368.207.2966,88168 Moreno Walks Suite 230,South Sarahport,Saint Kitts and Nevis,online
17,Gerald Young,grayaaron@example.com,001-219-490-8187x330,632 White Ford Suite 369,Brianborough,Cameroon,online
18,Zamora-Rivera,greenjesus@example.org,622-765-4930x53973,59964 Robert Roads,Hollowaytown,New Zealand,online
19,"Mann, Moore and Scott",hayneschristopher@example.net,001-731-864-1199x136,025 Mcclure Extensions Suite 006,New Karen,Morocco,online
20,Jackson PLC,james79@example.net,489.459.4589,74752 Dean Mount Suite 655,East Zacharyhaven,Peru,retail
21,"Cook, Graham and Herrera",bhenry@example.com,001-770-531-0122x133,14483 Roberts Trail Suite 749,New Roger,Mali,retail
22,Bethany Hernandez,jason93@example.com,001-235-821-5173x466,471 Alvarez Islands,Snowtown,Mayotte,retail
23,Angela Owen,martinpamela@example.net,(539)455-1216,85414 Selena Lodge,Lake Dean,Samoa,retail
24,Wilson LLC,james71@example.com,+1-204-351-9678x7788,591 Gregory Plain,Jacobburgh,Romania,retail
25,Lee-Kelly,robert03@example.org,001-469-531-0571x973,4552 Rasmussen Points,Kimburgh,Norfolk Island,retail
26,Christopher Lewis,rmitchell@example.net,309.799.8689,8679 Hudson Rest,Lake Alicia,Botswana,retail
27,"Martinez, Kline and Carroll",hnelson@example.org,719.300.2415,8637 Mathew Flats Apt. 702,Ortizchester,Macao,retail
28,Taylor Wood,jason16@example.org,506-851-4947,431 Matthew Mill Suite 103,Lake Kendramouth,Greenland,enterprise
29,Williams-Knapp,amy97@example.net,658.643.4231,12586 Roger Row Apt. 981,Lake Josephshire,Tunisia,enterprise
30,"Chandler, Montgomery and Wilson",yateskevin@example.org,805-508-5013x4742,1226 Chavez Island Suite 392,Matthewfurt,American Samoa,enterprise
31,Alexander Best,ocampbell@example.com,(853)496-8527,188 Gabriel Inlet,Priceview,Turks and Caicos Islands,retail
32,Kimberly Jacobs,asmith@example.net,001-779-509-6351x591,70253 Victor Mountains,New Paulport,Ukraine,online
