supplier_id,name,contact_name,email,phone,country,rating
1,Cordova PLC,Erin Thornton,wkemp@estrada.info,317-702-8140x69375,Azerbaijan,4.3
2,"Fox, Harrington and Wang",Bradley Atkinson,daughertypreston@stewart-jacobs.com,+1-356-526-5650x4554,Saint Lucia,3.6
3,Roberts-Shaffer,Jessica Mosley,maryharper@clark.net,519-461-0646x28792,Syrian Arab Republic,3.4
4,"Henry, Carson and Turner",Kathleen Singh,anthonysmith@evans-davidson.info,946-327-3014,Netherlands Antilles,4.5
5,"Castillo, Graham and Scott",Valerie Cardenas,william90@martin-brown.com,325.520.4565x044,Seychelles,4.2
6,George and Sons,Shelia Serrano,joseph51@carpenter.net,357-865-2132x8338,Kuwait,2.1
7,Mclean Group,Michael Taylor,mpreston@gallagher.com,001-313-222-3423x216,Singapore,3.6
8,Gonzalez Inc,Kayla Brown,kerrbradley@contreras-webster.com,+1-739-432-5012x495,Timor-Leste,4.9
9,Wagner Inc,Kenneth Smith,jenniferbrandt@winters.com,001-813-587-5927x125,Malaysia,2.6
10,Juarez LLC,Brian Taylor,janet80@murphy.biz,779-447-3864x6317,American Samoa,4.7
11,"Garcia, Kim and Barrett",Charles Morales,figueroapatricia@brown.com,696.813.6749,Guinea-Bissau,3.9
12,Archer-Dixon,Jesse Martinez,ocrawford@johnson.com,370-326-9524,Panama,4.7
13,Harris-Bates,Dennis Cooper PhD,cisnerosanthony@beard-wilson.info,867-970-0284x27624,Serbia,2.9
14,"Henry, Spencer and Ryan",Justin Moore,myerstroy@jensen-gomez.com,700-790-2559x05616,Isle of Man,3.0
15,"Sanchez, Young and Collins",Michael Melton,morganandrew@johnson-barrett.biz,001-886-840-7905,Gibraltar,4.1
16,Garcia-Leonard,Jonathan Hubbard,garrett45@harris-reid.com,+1-334-340-4963,Nauru,3.4
17,Knight PLC,Daniel Flynn,william46@fernandez.org,878.220.8297x37489,Mali,2.5
18,Hernandez-Hernandez,Elizabeth Graham,michelle13@adams-mitchell.com,993-863-1230x347,Jamaica,4.0
19,Moore and Sons,Richard Ramirez,dawnwilliams@tucker.com,694-916-5162x31981,Turks and Caicos Islands,2.3
20,"Martinez, Roman and Murphy",Jean Goodman,selenarobinson@thompson.info,(449)707-8515x86734,Lebanon,4.5
21,Smith-Rasmussen,Sarah Bates,vazquezkristina@king.com,+1-651-583-7606x4413,Tokelau,2.7
22,"Stewart, Burnett and Newman",Denise Miller,aruiz@love-mcdowell.com,(948)215-6985,Serbia,2.2
23,"Ramos, Davidson and Smith",Eric Johnston,moorezachary@hines.com,472.842.9543x165,Turkey,3.9
24,Smith Inc,Maria Sims,mccannjames@christian.org,321-552-9108x677,Rwanda,2.3
25,Roberts-Snyder,Scott Greene,jessica36@ortiz.com,743-897-3597x1072,Poland,2.6
26,"Henderson, Harper and Jones",Amy Galvan,modonnell@coffey.com,2484964652,Eritrea,2.8
27,Conrad-Humphrey,Evan Moreno,jorgeedwards@porter.com,(244)594-8562x57287,Canada,2.3
28,Johnson LLC,John Wilson,wwilliams@hoffman.com,551-234-2284,Malta,4.2
29,Knapp-Sanchez,Mr. Gary Mitchell DVM,longbrittany@hood.com,977-774-9050,Yemen,4.9
